ID,Lat,Lon,Lower depth (cm),Upper depth (cm),clay,ph,sand,silt
263,38.6880834526223,100.640772098717,150.0,100.0,19.4,8.4,46.3,34.3
264,38.6880834526223,100.640772098717,20.0,0.0,17.15,8.275,47.575,35.3
265,38.6880834526223,100.640772098717,50.0,20.0,18.166666666666664,8.433333333333334,46.46666666666666,35.33333333333333
266,38.6880834526223,100.640772098717,100.0,50.0,18.6,8.5,46.379999999999995,35.02
267,38.6880834526223,100.640772098717,150.0,100.0,19.4,8.4,46.3,34.3
268,39.253316338652,100.090784493597,20.0,0.0,18.575000000000003,8.3,35.375,46.075
269,39.253316338652,100.090784493597,50.0,20.0,19.23333333333333,8.366666666666667,35.06666666666666,45.63333333333333
270,39.253316338652,100.090784493597,100.0,50.0,18.52,8.4,36.24,45.220000000000006
271,39.253316338652,100.090784493597,150.0,100.0,17.8,8.4,35.7,46.4
272,39.253316338652,100.090784493597,20.0,0.0,18.575000000000003,8.3,35.375,46.075
273,39.253316338652,100.090784493597,50.0,20.0,19.23333333333333,8.366666666666667,35.06666666666666,45.63333333333333
274,39.253316338652,100.090784493597,100.0,50.0,18.52,8.4,36.24,45.220000000000006
275,39.253316338652,100.090784493597,150.0,100.0,17.8,8.4,35.7,46.4
276,39.3512038492771,99.9545987650569,20.0,0.0,19.225,8.3,36.75,44.050000000000004
277,39.3512038492771,99.9545987650569,50.0,20.0,18.43333333333333,8.3,36.8,44.8
278,39.3512038492771,99.9545987650569,100.0,50.0,17.14,8.3,36.76,46.18000000000001
279,39.3512038492771,99.9545987650569,150.0,100.0,16.9,8.3,38.3,44.8
280,39.3512038492771,99.9545987650569,20.0,0.0,19.225,8.3,36.75,44.050000000000004
281,39.3512038492771,99.9545987650569,50.0,20.0,18.43333333333333,8.3,36.8,44.8
282,39.3512038492771,99.9545987650569,100.0,50.0,17.14,8.3,36.76,46.18000000000001
283,39.3512038492771,99.9545987650569,150.0,100.0,16.9,8.3,38.3,44.8
284,26.8833333333333,71.2166666666666,15.0,0.0,24.633333333333333,8.0,57.766666666666666,17.599999999999998
285,26.8833333333333,71.2166666666666,15.0,0.0,24.633333333333333,8.0,57.766666666666666,17.599999999999998
286,26.8833333333333,71.2166666666666,15.0,0.0,24.633333333333333,8.0,57.766666666666666,17.599999999999998
287,26.8833333333333,71.2166666666666,15.0,0.0,24.633333333333333,8.0,57.766666666666666,17.599999999999998
288,39.73,109.1424,100.0,0.0,18.465,8.34,54.47,27.05
289,39.73,109.1424,10.0,0.0,17.9,8.3,54.75,27.299999999999997
290,39.73,109.1424,20.0,10.0,18.25,8.3,54.150000000000006,27.6
291,39.73,109.1424,40.0,20.0,18.25,8.3,54.0,27.8
